epoch,train_loss,test_loss,test_psnr
1,0.1269754350213057,0.01830084439367057,34.709671003718
2,0.01590789424366143,0.014383974513038992,34.879246112172176
3,0.015081475627156768,0.015032593561336398,35.73423069547296
4,0.01351009057558114,0.016191235622391102,36.61816555528299
5,0.012992497009114538,0.0136546210385859,38.34485473297363
6,0.008727466881201408,0.009459060858935118,44.449930296565526
7,0.005513393886083054,0.0061292381677776585,47.11858030161738
8,0.004932516444668098,0.004292975745629523,48.0061072090712
9,0.005893255226627582,0.005690818047150969,48.471250360652654
10,0.004268157741949333,0.004954619542695581,50.13799386388899
11,0.004922852506238674,0.006203227797523142,50.219303388902055
12,0.00477664474061331,0.00628854712937027,50.235979777072046
13,0.004248238167504203,0.0031205683667212725,50.77507929425218
14,0.004184688646622961,0.003670029570348561,50.916759541380735
15,0.004049801646609618,0.0035173631086945533,50.71106412887334
16,0.004966719635061476,0.00543720467481762,48.704125956763
17,0.005784579534844344,0.01044775867834687,49.804487543810886
18,0.0048223087237917305,0.002939069101121276,51.365632989591944
19,0.003948974949284687,0.0036745793279260395,51.158927035221275
20,0.004017358436594987,0.005335218594409525,49.37492473588347
21,0.004209690862150843,0.004562575162854046,50.52410090289144
22,0.004829815068480434,0.009753895625472074,45.32471259045393
23,0.00410541465925514,0.005124182710424065,49.262580217076085
24,0.003914962422983293,0.0026611265691462915,51.49806917913069
25,0.003939911191199564,0.004146864933427422,50.16263554265479
26,0.003902246078273445,0.003571054565254599,51.58734851174921
27,0.004411222565329016,0.005152722722850739,49.300696147068194
28,0.004000589512300093,0.006421380653046071,48.22857617152913
29,0.004386904134788532,0.0031839539180509744,51.62337565347535
30,0.004610290877650135,0.003930795947089793,50.41679037575622
31,0.004824487552378725,0.004950447399169205,51.59617021588152
32,0.00450427853905752,0.0033141149813309314,50.99303071955792
33,0.005117097125206569,0.002631795699708165,51.152055069681126
34,0.004125464679949946,0.005519209182821217,48.85266791858015
35,0.004520886146583323,0.0028910601930692793,51.53754578312274
36,0.00448946338832738,0.006066324580460785,51.34388050661608
37,0.004251405831580834,0.0027842577314004303,51.503312810022535
38,0.0046152952628551415,0.002915205731987953,51.71350590249608
39,0.0037231005395135593,0.0030480234860442573,51.36781363493558
40,0.0039274269230271915,0.004600618472322821,50.05067530377073
41,0.0037781387719666906,0.0036101706465706228,51.510936940373725
42,0.003957779240669994,0.006846034601330757,51.47377669935324
43,0.004170332776237334,0.0026495800400152796,51.49170184139602
44,0.004853633452278317,0.007212574318982661,52.05834931094889
45,0.00373026031809444,0.0031569756916724145,51.13969582035677
46,0.004577996349884285,0.007352728829719126,47.48498799649577
47,0.003883512287820225,0.004608704836573452,49.781458565507755
48,0.004197695255360226,0.0031235382612794637,51.50627016426595
49,0.0037159204695115587,0.005649633780121801,48.96252452743653
50,0.004336744009477948,0.005600026291795075,48.80727212445415
51,0.0035670888935801304,0.005222596563398838,49.40610661815474
52,0.0040396288449940565,0.002708162711933256,51.61856600340734
53,0.004070784152015159,0.003430282271001488,51.8126321567045
54,0.0036403923260859483,0.005643803500570357,51.82755356529443
55,0.003511493444664053,0.004012139998376368,50.570064141547775
56,0.004399126885737766,0.005692674340680243,52.03503603102116
57,0.0045682096016468774,0.0038720320421271027,51.65080539756881
58,0.003914201764982324,0.002437847397523001,51.79048135093833
59,0.004120687376085373,0.003642220350448042,50.090928968467814
60,0.0036810883467827955,0.003211974403820932,51.65787490014953
61,0.003916142576104399,0.0058870358858257536,48.38327722606428
62,0.003841146517551901,0.0029257271438837052,51.357967516971314
63,0.003804437358261981,0.008602337632328282,51.083526277607604
64,0.004093071597681322,0.008215404739603393,46.46235946939475
65,0.004168469885578567,0.00660675851162523,52.31024876361331
66,0.0043110580801373624,0.002168835996417329,51.759535785161816
67,0.0036793429589493773,0.0042909628455527135,50.00208424952867
68,0.0035613593120948587,0.0031927212770096946,51.246947341769975
69,0.003635480648107218,0.003137810982298106,51.14587415161132
70,0.0040861707077578325,0.0028922008164226996,51.647462031034856
