mu/g,T/g,chiralcon
0.0,0.03333333333333333,0.6427245199325354
0.0,0.0462478184991274,0.6426894207416834
0.0,0.05916230366492147,0.6425224195300742
0.0,0.07207678883071554,0.6421169500724851
0.0,0.08499127399650959,0.6414239694320346
0.0,0.09790575916230367,0.6404526236475709
0.0,0.11082024432809774,0.6392426107608554
0.0,0.12373472949389179,0.6378403779203896
0.0,0.13664921465968585,0.6362867641780595
0.0,0.14956369982547993,0.6346132407935274
0.0,0.162478184991274,0.6328425174530471
0.0,0.17539267015706805,0.6309906498744656
0.0,0.18830715532286213,0.6290692267505762
0.0,0.2012216404886562,0.6270871144347212
0.0,0.21413612565445025,0.6250516749670512
0.0,0.22705061082024433,0.6229695391899823
0.0,0.2399650959860384,0.6208470539549745
0.0,0.25287958115183246,0.6186905097200565
0.0,0.26579406631762653,0.6165062290382607
0.0,0.2787085514834206,0.6143005719901243
0.0,0.2916230366492147,0.6120798956621409
0.0,0.30453752181500876,0.6098504913904694
0.0,0.3174520069808028,0.6076185145105374
0.0,0.33036649214659686,0.605389915501477
0.0,0.343280977312391,0.6031703776580446
0.0,0.35619546247818507,0.6009652640258427
0.0,0.36910994764397914,0.5987795748074104
0.0,0.3820244328097732,0.5966179154723317
0.0,0.3949389179755672,0.594484475186843
0.0,0.40785340314136126,0.5923830147950242
0.0,0.42076788830715534,0.590316863358099
0.0,0.4336823734729494,0.5882889221418698
0.0,0.4465968586387435,0.5863016749027112
0.0,0.45951134380453756,0.5843572033374775
0.0,0.47242582897033164,0.5824572066160136
0.0,0.4853403141361257,0.5806030239943499
0.0,0.4982547993019198,0.5787956596026586
0.0,0.5111692844677138,0.5770358086070188
0.0,0.5240837696335079,0.5753238840522482
0.0,0.536998254799302,0.5736600437998939
0.0,0.549912739965096,0.5720442170776335
0.0,0.5628272251308901,0.5704761302514655
0.0,0.5757417102966842,0.5689553315185836
0.0,0.5886561954624783,0.5674812142959518
0.0,0.6015706806282722,0.5660530391469356
0.0,0.6144851657940663,0.5646699541460819
0.0,0.6273996509598604,0.5633310136306321
0.0,0.6403141361256545,0.5620351953272984
0.0,0.6532286212914485,0.560781415874918
0.0,0.6661431064572426,0.5595685447887735
0.0,0.6790575916230367,0.5583954169313702
0.0,0.6919720767888308,0.5572608435682741
0.0,0.7048865619546248,0.556163622096917
0.0,0.7178010471204189,0.5551025445419296
0.0,0.730715532286213,0.5540764049131629
0.0,0.7436300174520071,0.55308400552276
0.0,0.756544502617801,0.5521241623559471
0.0,0.7694589877835951,0.5511957095870808
0.0,0.7823734729493892,0.550297503328321
0.0,0.7952879581151833,0.549428424693383
0.0,0.8082024432809773,0.5485873822534658
0.0,0.8211169284467714,0.547773313956823
0.0,0.8340314136125655,0.5469851885777566
0.0,0.8469458987783596,0.5462220067551542
0.0,0.8598603839441537,0.5454828016752034
0.0,0.8727748691099477,0.5447666394476384
0.0,0.8856893542757418,0.5440726192198806
0.0,0.8986038394415359,0.5433998730687446
0.0,0.91151832460733,0.5427475657050217
0.0,0.924432809773124,0.5421148940222278
0.0,0.9373472949389181,0.5415010865171093
0.0,0.9502617801047122,0.5409054026061366
0.0,0.9631762652705063,0.5403271318591698
0.0,0.9760907504363002,0.5397655931687156
0.0,0.9890052356020943,0.5392201338707422
0.0,1.0019197207678883,0.5386901288307882
0.0,1.0148342059336823,0.5381749795071543
0.0,1.0277486910994764,0.5376741130012022
0.0,1.0406631762652705,0.5371869811032531
0.0,1.0535776614310646,0.5367130593412167
0.0,1.0664921465968586,0.5362518460378846
0.0,1.0794066317626527,0.5358028613817851
0.0,1.0923211169284468,0.5353656465155842
0.0,1.1052356020942409,0.5349397626452275
0.0,1.118150087260035,0.5345247901723427
0.0,1.131064572425829,0.5341203278518255
0.0,1.143979057591623,0.5337259919760368
0.0,1.1568935427574172,0.5333414155866053
0.0,1.1698080279232113,0.5329662477144665
0.0,1.1827225130890053,0.5326001526484611
0.0,1.1956369982547994,0.5322428092325566
0.0,1.2085514834205935,0.5318939101915482
0.0,1.2214659685863876,0.5315531614849057
0.0,1.2343804537521816,0.5312202816883042
0.0,1.2472949389179757,0.5308950014022471
0.0,1.2602094240837698,0.5305770626871092
0.0,1.2731239092495639,0.530266218523848
0.0,1.286038394415358,0.5299622322995838
0.0,1.298952879581152,0.5296648773172122
0.0,1.311867364746946,0.5293739363281791
0.0,1.3247818499127402,0.5290892010875469
0.0,1.337696335078534,0.5288104719304633
0.0,1.350610820244328,0.5285375573691524
0.0,1.3635253054101222,0.5282702737095555
0.0,1.3764397905759163,0.5280084446867618
0.0,1.3893542757417103,0.5277519011183835
0.0,1.4022687609075044,0.527500480575058
0.0,1.4151832460732985,0.5272540270672715
0.0,1.4280977312390926,0.5270123907477365
0.0,1.4410122164048866,0.5267754276285684
0.0,1.4539267015706807,0.5265429993125461
0.0,1.4668411867364748,0.526314972737757
0.0,1.4797556719022686,0.5260912199349661
0.0,1.4926701570680627,0.5258716177970681
0.0,1.5055846422338568,0.525656047860014
0.0,1.5184991273996509,0.5254443960946262
0.0,1.531413612565445,0.5252365527087522
0.0,1.544328097731239,0.5250324119592178
0.0,1.557242582897033,0.5248318719730838
0.0,1.5701570680628272,0.5246348345777175
0.0,1.5830715532286213,0.524441205139231
0.0,1.5959860383944153,0.524250892408843
0.0,1.6089005235602094,0.5240638083767601
0.0,1.6218150087260035,0.5238798681331819
0.0,1.6347294938917976,0.5236989897360608
0.0,1.6476439790575916,0.523521094085265
0.0,1.6605584642233857,0.5233461048028121
0.0,1.6734729493891798,0.5231739481188536
0.0,1.6863874345549739,0.5230045527631195
0.0,1.699301919720768,0.5228378498615306
